pf,0F,po,so,o,proc,st,m,rl,x,mnemonic,op1,op2,op3,op4,iext,tested f,modif f,def f,undef f,f values,"description, notes                                        "
,,0,,r,,,,,L,ADD,r/m8,r8,,,,,o..szapc,o..szapc,,,Add
,,1,,r,,,,,L,ADD,r/m16/32,r16/32,,,,,o..szapc,o..szapc,,,Add
,,2,,r,,,,,,ADD,r8,r/m8,,,,,o..szapc,o..szapc,,,Add
,,3,,r,,,,,,ADD,r16/32,r/m16/32,,,,,o..szapc,o..szapc,,,Add
,,4,,,,,,,,ADD,AL,imm8,,,,,o..szapc,o..szapc,,,Add
,,5,,,,,,,,ADD,eAX,imm16/32,,,,,o..szapc,o..szapc,,,Add
,,6,,,,,,,,PUSH,ES,,,,,,,,,,"Push Word, Doubleword or Quadword Onto the Stack"
,,7,,,,,,,,POP,ES,,,,,,,,,,Pop a Value from the Stack
,,8,,r,,,,,L,OR,r/m8,r8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Inclusive OR
,,9,,r,,,,,L,OR,r/m16/32,r16/32,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Inclusive OR
,,0A,,r,,,,,,OR,r8,r/m8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Inclusive OR
,,0B,,r,,,,,,OR,r16/32,r/m16/32,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Inclusive OR
,,0C,,,,,,,,OR,AL,imm8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Inclusive OR
,,0D,,,,,,,,OR,eAX,imm16/32,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Inclusive OR
,,0E,,,,,,,,PUSH,CS,,,,,,,,,,"Push Word, Doubleword or Quadword Onto the Stack"
,,0F,,,02+,,,,,Two-byte Instructions,,,,,,,,,,,
,,10,,r,,,,,L,ADC,r/m8,r8,,,,.......c,o..szapc,o..szapc,,,Add with Carry
,,11,,r,,,,,L,ADC,r/m16/32,r16/32,,,,.......c,o..szapc,o..szapc,,,Add with Carry
,,12,,r,,,,,,ADC,r8,r/m8,,,,.......c,o..szapc,o..szapc,,,Add with Carry
,,13,,r,,,,,,ADC,r16/32,r/m16/32,,,,.......c,o..szapc,o..szapc,,,Add with Carry
,,14,,,,,,,,ADC,AL,imm8,,,,.......c,o..szapc,o..szapc,,,Add with Carry
,,15,,,,,,,,ADC,eAX,imm16/32,,,,.......c,o..szapc,o..szapc,,,Add with Carry
,,16,,,,,,,,PUSH,SS,,,,,,,,,,"Push Word, Doubleword or Quadword Onto the Stack"
,,17,,,,,,,,POP,SS,,,,,,,,,,Pop a Value from the Stack
,,18,,r,,,,,L,SBB,r/m8,r8,,,,.......c,o..szapc,o..szapc,,,Integer Subtraction with Borrow
,,19,,r,,,,,L,SBB,r/m16/32,r16/32,,,,.......c,o..szapc,o..szapc,,,Integer Subtraction with Borrow
,,1A,,r,,,,,,SBB,r8,r/m8,,,,.......c,o..szapc,o..szapc,,,Integer Subtraction with Borrow
,,1B,,r,,,,,,SBB,r16/32,r/m16/32,,,,.......c,o..szapc,o..szapc,,,Integer Subtraction with Borrow
,,1C,,,,,,,,SBB,AL,imm8,,,,.......c,o..szapc,o..szapc,,,Integer Subtraction with Borrow
,,1D,,,,,,,,SBB,eAX,imm16/32,,,,.......c,o..szapc,o..szapc,,,Integer Subtraction with Borrow
,,1E,,,,,,,,PUSH,DS,,,,,,,,,,"Push Word, Doubleword or Quadword Onto the Stack"
,,1F,,,,,,,,POP,DS,,,,,,,,,,Pop a Value from the Stack
,,20,,r,,,,,L,AND,r/m8,r8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical AND
,,21,,r,,,,,L,AND,r/m16/32,r16/32,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical AND
,,22,,r,,,,,,AND,r8,r/m8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical AND
,,23,,r,,,,,,AND,r16/32,r/m16/32,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical AND
,,24,,,,,,,,AND,AL,imm8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical AND
,,25,,,,,,,,AND,eAX,imm16/32,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical AND
26,,,,,,,,,,ES,ES,,,,,,,,,,ES segment override prefix
,,27,,,,,,,,DAA,AL,,,,,.....a.c,o..szapc,...szapc,o.......,,Decimal Adjust AL after Addition
,,28,,r,,,,,L,SUB,r/m8,r8,,,,,o..szapc,o..szapc,,,Subtract
,,29,,r,,,,,L,SUB,r/m16/32,r16/32,,,,,o..szapc,o..szapc,,,Subtract
,,2A,,r,,,,,,SUB,r8,r/m8,,,,,o..szapc,o..szapc,,,Subtract
,,2B,,r,,,,,,SUB,r16/32,r/m16/32,,,,,o..szapc,o..szapc,,,Subtract
,,2C,,,,,,,,SUB,AL,imm8,,,,,o..szapc,o..szapc,,,Subtract
,,2D,,,,,,,,SUB,eAX,imm16/32,,,,,o..szapc,o..szapc,,,Subtract
2E,,,,,,,,,,CS,CS,,,,,,,,,,CS segment override prefix
,,2F,,,,,,,,DAS,AL,,,,,.....a.c,o..szapc,...szapc,o.......,,Decimal Adjust AL after Subtraction
,,30,,r,,,,,L,XOR,r/m8,r8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Exclusive OR
,,31,,r,,,,,L,XOR,r/m16/32,r16/32,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Exclusive OR
,,32,,r,,,,,,XOR,r8,r/m8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Exclusive OR
,,33,,r,,,,,,XOR,r16/32,r/m16/32,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Exclusive OR
,,34,,,,,,,,XOR,AL,imm8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Exclusive OR
,,35,,,,,,,,XOR,eAX,imm16/32,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Exclusive OR
36,,,,,,,,,,SS,SS,,,,,,,,,,SS segment override prefix
,,37,,,,,,,,AAA,AL,AH,,,,.....a..,o..szapc,.....a.c,o..sz.p.,,ASCII Adjust After Addition
,,38,,r,,,,,,CMP,r/m8,r8,,,,,o..szapc,o..szapc,,,Compare Two Operands
,,39,,r,,,,,,CMP,r/m16/32,r16/32,,,,,o..szapc,o..szapc,,,Compare Two Operands
,,3A,,r,,,,,,CMP,r8,r/m8,,,,,o..szapc,o..szapc,,,Compare Two Operands
,,3B,,r,,,,,,CMP,r16/32,r/m16/32,,,,,o..szapc,o..szapc,,,Compare Two Operands
,,3C,,,,,,,,CMP,AL,imm8,,,,,o..szapc,o..szapc,,,Compare Two Operands
,,3D,,,,,,,,CMP,eAX,imm16/32,,,,,o..szapc,o..szapc,,,Compare Two Operands
3E,,,,,,,,,,DS,DS,,,,,,,,,,DS segment override prefix
,,3F,,,,,,,,AAS,AL,AH,,,,.....a..,o..szapc,.....a.c,o..sz.p.,,ASCII Adjust AL After Subtraction
,,40+r,,,,,,,,INC,r16/32,,,,,,o..szap.,o..szap.,,,Increment by 1
,,48+r,,,,,,,,DEC,r16/32,,,,,,o..szap.,o..szap.,,,Decrement by 1
,,50+r,,,,,,,,PUSH,r16/32,,,,,,,,,,"Push Word, Doubleword or Quadword Onto the Stack"
,,58+r,,,,,,,,POP,r16/32,,,,,,,,,,Pop a Value from the Stack
,,60,,,01+,,,,,PUSHA,AX,CX,DX,...,,,,,,,Push All General-Purpose Registers
,,60,,,03+,,,,,PUSHAD,EAX,ECX,EDX,...,,,,,,,Push All General-Purpose Registers
,,61,,,01+,,,,,POPA,DI,SI,BP,...,,,,,,,Pop All General-Purpose Registers
,,61,,,03+,,,,,POPAD,EDI,ESI,EBP,...,,,,,,,Pop All General-Purpose Registers
,,62,,r,01+,,,f,,BOUND,r16/32,m16/32&16/32,eFlags,,,,..i.....,..i.....,,..i.....,Check Array Index Against Bounds
,,63,,r,02+,,,,,ARPL,r/m16,r16,,,,,....z...,....z...,,,Adjust RPL Field of Segment Selector
64,,,,,03+,,,,,FS,FS,,,,,,,,,,FS segment override prefix
65,,,,,03+,,,,,GS,GS,,,,,,,,,,GS segment override prefix
66,,,,,,,,,,no mnemonic,,,,,,,,,,,Operand-size override prefix
66,,,,,P4+,M,,,,no mnemonic,,,,,sse2,,,,,,Precision-size override prefix
67,,,,,,,,,,no mnemonic,,,,,,,,,,,Address-size override prefix
,,68,,,01+,,,,,PUSH,imm16/32,,,,,,,,,,"Push Word, Doubleword or Quadword Onto the Stack"
,,69,,r,01+,,,,,IMUL,r16/32,r/m16/32,imm16/32,,,,o..szapc,o......c,...szap.,,Signed Multiply
,,6A,,,01+,,,,,PUSH,imm8,,,,,,,,,,"Push Word, Doubleword or Quadword Onto the Stack"
,,6B,,r,01+,,,,,IMUL,r16/32,r/m16/32,imm8,,,,o..szapc,o......c,...szap.,,Signed Multiply
,,6C,,,01+,,,f1,,INS,m8,DX,,,,.d......,,,,,Input from Port to String
,,,,,,,,,,INSB,m8,DX,,,,,,,,,
,,6D,,,01+,,,f1,,INS,m16,DX,,,,.d......,,,,,Input from Port to String
,,,,,,,,,,INSW,m16,DX,,,,,,,,,
,,6D,,,03+,,,f1,,INS,m16/32,DX,,,,.d......,,,,,Input from Port to String
,,,,,,,,,,INSD,m32,DX,,,,,,,,,
,,6E,,,01+,,,f1,,OUTS,DX,m8,,,,.d......,,,,,Output String to Port
,,,,,,,,,,OUTSB,DX,m8,,,,,,,,,
,,6F,,,01+,,,f1,,OUTS,DX,m16,,,,.d......,,,,,Output String to Port
,,,,,,,,,,OUTSW,DX,m16,,,,,,,,,
,,6F,,,03+,,,f1,,OUTS,DX,m16/32,,,,.d......,,,,,Output String to Port
,,,,,,,,,,OUTSD,DX,m32,,,,,,,,,
,,70,,,,,,,,JO,rel8,,,,,o.......,,,,,Jump short if overflow (OF=1)
,,71,,,,,,,,JNO,rel8,,,,,o.......,,,,,Jump short if not overflow (OF=0)
,,72,,,,,,,,JB,rel8,,,,,.......c,,,,,Jump short if below/not above or equal/carry (CF=1)
,,,,,,,,,,JNAE,rel8,,,,,,,,,,
,,,,,,,,,,JC,rel8,,,,,,,,,,
,,73,,,,,,,,JNB,rel8,,,,,.......c,,,,,Jump short if not below/above or equal/not carry (CF=0)
,,,,,,,,,,JAE,rel8,,,,,,,,,,
,,,,,,,,,,JNC,rel8,,,,,,,,,,
,,74,,,,,,,,JZ,rel8,,,,,....z...,,,,,Jump short if zero/equal (ZF=1)
,,,,,,,,,,JE,rel8,,,,,,,,,,
,,75,,,,,,,,JNZ,rel8,,,,,....z...,,,,,Jump short if not zero/not equal (ZF=0)
,,,,,,,,,,JNE,rel8,,,,,,,,,,
,,76,,,,,,,,JBE,rel8,,,,,....z..c,,,,,Jump short if below or equal/not above (CF=1 OR ZF=1)
,,,,,,,,,,JNA,rel8,,,,,,,,,,
,,77,,,,,,,,JNBE,rel8,,,,,....z..c,,,,,Jump short if not below or equal/above (CF=0 AND ZF=0)
,,,,,,,,,,JA,rel8,,,,,,,,,,
,,78,,,,,,,,JS,rel8,,,,,...s....,,,,,Jump short if sign (SF=1)
,,79,,,,,,,,JNS,rel8,,,,,...s....,,,,,Jump short if not sign (SF=0)
,,7A,,,,,,,,JP,rel8,,,,,......p.,,,,,Jump short if parity/parity even (PF=1)
,,,,,,,,,,JPE,rel8,,,,,,,,,,
,,7B,,,,,,,,JNP,rel8,,,,,......p.,,,,,Jump short if not parity/parity odd (PF=0)
,,,,,,,,,,JPO,rel8,,,,,,,,,,
,,7C,,,,,,,,JL,rel8,,,,,o..s....,,,,,Jump short if less/not greater (SF!=OF)
,,,,,,,,,,JNGE,rel8,,,,,,,,,,
,,7D,,,,,,,,JNL,rel8,,,,,o..s....,,,,,Jump short if not less/greater or equal (SF=OF)
,,,,,,,,,,JGE,rel8,,,,,,,,,,
,,7E,,,,,,,,JLE,rel8,,,,,o..sz...,,,,,Jump short if less or equal/not greater ((ZF=1) OR (SF!=OF))
,,,,,,,,,,JNG,rel8,,,,,,,,,,
,,7F,,,,,,,,JNLE,rel8,,,,,o..sz...,,,,,Jump short if not less nor equal/greater ((ZF=0) AND (SF=OF))
,,,,,,,,,,JG,rel8,,,,,,,,,,
,,80,,0,,,,,L,ADD,r/m8,imm8,,,,,o..szapc,o..szapc,,,Add
,,80,,1,,,,,L,OR,r/m8,imm8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Inclusive OR
,,80,,2,,,,,L,ADC,r/m8,imm8,,,,.......c,o..szapc,o..szapc,,,Add with Carry
,,80,,3,,,,,L,SBB,r/m8,imm8,,,,.......c,o..szapc,o..szapc,,,Integer Subtraction with Borrow
,,80,,4,,,,,L,AND,r/m8,imm8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical AND
